year,month,age,country,holiday17,screen,company,genre,director,star1,star2,star3,totalstar,day0a,day0s,day0r,pregrade,preparti,audience17
2016,4,12,2,5,314,93,204,58972,401907,583690.3333,33107.85714,1018705.19,15227,159,160,8.95,248,41269
2015,11,15,3,4,991,797,871,813641,813641,114739.7273,248146.8571,1176527.584,1601,8,8,9.19,257,1746931
1900,10,15,3,1,1,0,871,1,1,1,1,3,6717,0,0,0,0,7258
2014,4,12,1,0,1,897,204,256,1,1,1,3,3253,0,0,0,0,3424
2016,3,15,2,5,364,897,871,5657499.6,5655499.6,1,1,5655501.6,1125,5,5,4.83,24,144353
2014,11,0,3,7,18,16,412,1,1,1,1,3,0,0,0,7.25,4,4254
2014,9,0,1,6,35,797,79,7754.333333,1,1,1,3,776,23,23,9.09,32,3616
2000,4,15,1,1,1,18,204,369.5,1,1,1,3,3384,0,0,0,0,3390
2015,6,19,2,5,281,797,198,142110,142060,142060,1686414,1970534,135,1,1,9.04,85,168533
2014,9,15,3,5,45,70,353,1,1,1,1,3,1108,12,12,7.28,18,4378
2000,10,15,2,1,2,73,919,186143,1,229883,1,229885,47061,0,0,0,0,47069
2016,5,15,3,7,43,130,204,121,121,12894,1,13016,1678,27,29,8.3,60,19861
2000,10,15,1,0,1,1157,204,1,3499157.5,543313,1,4042471.5,13418,0,0,0,0,13886
2016,4,15,1,5,212,73,204,703001,2394487,11374861,1,13769349,2887,32,33,9.53,124,28690
2000,12,12,3,7,1,1,86,1,1,1,1,3,4444,0,0,0,0,5025
2015,11,15,2,2,58,23,198,1,1,1,1,3,560,4,5,9.47,156,4921
2000,5,15,2,8,1,121,204,1,1,871644.5,1,871646.5,137500,0,0,0,0,141220
2014,10,0,3,5,62,27,86,228041.5,367567.4,54125,1,421693.4,900,9,9,9.15,33,38501
2014,9,12,1,6,76,18,85,1,1,1,1,3,2524,12,12,0,0,17294
2015,2,12,2,7,343,797,1672,168,660651.625,330232.9231,302374,1293258.548,303,1,1,7.57,68,90557
1900,12,0,2,4,1,1,79,1,1,1,1,3,4713,0,0,0,0,6239
2000,8,12,3,0,1,73,871,1,1,1,1,3,129753,0,0,0,0,129754
2014,12,0,1,6,70,22,204,1,39577,39577,39577,118731,252,2,3,9.68,430,23433
2000,10,15,3,2,1,5,198,1,1,1,1,3,5312,0,0,0,0,5356
2014,9,0,3,0,1,897,412,1,1,1,1,3,16439,0,0,0,0,16533
2000,5,15,3,0,1,14,90,1,1,1,1,3,4635,0,0,0,0,4650
2000,8,0,2,9,1,1157,412,1,610594,478680.875,933336.1,2022610.975,1075848,0,0,0,0,1080319
2014,8,12,2,7,539,94,871,181,118400.6667,1962452,1,2080853.667,122871,0,0,0,0,1213889
2000,8,0,3,1,1,0,412,1,118400.6667,1,1,118402.6667,251561,0,0,0,0,251821
1900,10,15,2,6,1,73,204,1,1,1,1,3,5668,0,0,0,0,5834
2014,9,19,1,0,1,3,86,1,1,1,1,3,3534,0,0,0,0,3534
2014,10,19,3,7,1,130,204,493,118400.6667,1,1,118402.6667,50359,0,0,0,0,51407
2000,3,12,3,2,1,0,204,2733,1,1,1,3,5545,0,0,0,0,5545
